Journal,Journal_Id,Publisher,Link,Link_Articles,Number_Pages,links_2017,links_2018,links_2019,links_2020,links_2021
Journal of Evidence Based Dental Practice,13372,Elsevier Science,/scimag/journals/13372,/scimag/?journal=13372&page=1,85,/scimag/?journal=13372&year=2017&volume=17&issue=1,/scimag/?journal=13372&year=2018&volume=18&issue=1,/scimag/?journal=13372&year=2019&volume=19&issue=1,/scimag/?journal=13372&year=2020&volume=20&issue=1,
Journal of Exotic Pet Medicine,13385,Elsevier Science,/scimag/journals/13385,/scimag/?journal=13385&page=1,44,/scimag/?journal=13385&year=2017&volume=26&issue=1,/scimag/?journal=13385&year=2018&volume=27&issue=1,/scimag/?journal=13385&year=2019&volume=28&issue=,/scimag/?journal=13385&year=2020&volume=32&issue=,/scimag/?journal=13385&year=2021&volume=36&issue=
Journal of Experimental Animal Science,13396,Elsevier Science,/scimag/journals/13396,/scimag/?journal=13396&page=1,6,,,,,
Journal of Experimental Child Psychology,13399,Elsevier Science,/scimag/journals/13399,/scimag/?journal=13399&page=1,205,/scimag/?journal=13399&year=2017&volume=153&issue=,/scimag/?journal=13399&year=2018&volume=165&issue=,/scimag/?journal=13399&year=2019&volume=177&issue=,/scimag/?journal=13399&year=2020&volume=189&issue=,/scimag/?journal=13399&year=2021&volume=201&issue=
Journal of Experimental Marine Biology and Ecology,13401,Elsevier Science,/scimag/journals/13401,/scimag/?journal=13401&page=1,432,/scimag/?journal=13401&year=2017&volume=486&issue=,/scimag/?journal=13401&year=2018&volume=498&issue=,/scimag/?journal=13401&year=2019&volume=510&issue=,/scimag/?journal=13401&year=2020&volume=522&issue=,/scimag/?journal=13401&year=2021&volume=534&issue=
Journal of Experimental Social Psychology,13414,Elsevier Science,/scimag/journals/13414,/scimag/?journal=13414&page=1,165,/scimag/?journal=13414&year=2017&volume=68&issue=,/scimag/?journal=13414&year=2018&volume=74&issue=,/scimag/?journal=13414&year=2019&volume=80&issue=,/scimag/?journal=13414&year=2020&volume=86&issue=,/scimag/?journal=13414&year=2021&volume=92&issue=
Journal of Feline Medicine & Surgery,13448,Elsevier Science,/scimag/journals/13448,/scimag/?journal=13448&page=1,114,/scimag/?journal=13448&year=2017&volume=19&issue=1,/scimag/?journal=13448&year=2018&volume=20&issue=1,/scimag/?journal=13448&year=2019&volume=21&issue=1,/scimag/?journal=13448&year=2020&volume=22&issue=1,/scimag/?journal=13448&year=2021&volume=&issue=
Journal of Fermentation and Bioengineering,13451,Elsevier Science,/scimag/journals/13451,/scimag/?journal=13451&page=1,110,,,,,
Journal of Fermentation Technology,13452,Elsevier Science,/scimag/journals/13452,/scimag/?journal=13452&page=1,17,,,,,
Journal of Financial Economics,13464,Elsevier Science,/scimag/journals/13464,/scimag/?journal=13464&page=1,146,/scimag/?journal=13464&year=2017&volume=123&issue=1,/scimag/?journal=13464&year=2018&volume=127&issue=1,/scimag/?journal=13464&year=2019&volume=131&issue=1,/scimag/?journal=13464&year=2020&volume=135&issue=1,/scimag/?journal=13464&year=2021&volume=139&issue=2
Journal of Financial Intermediation,13465,Elsevier Science,/scimag/journals/13465,/scimag/?journal=13465&page=1,34,/scimag/?journal=13465&year=2017&volume=29&issue=,/scimag/?journal=13465&year=2018&volume=33&issue=,/scimag/?journal=13465&year=2019&volume=38&issue=,/scimag/?journal=13465&year=2020&volume=41&issue=,
Journal of Financial Markets,13467,Elsevier Science,/scimag/journals/13467,/scimag/?journal=13467&page=1,26,/scimag/?journal=13467&year=2017&volume=32&issue=,/scimag/?journal=13467&year=2018&volume=37&issue=,/scimag/?journal=13467&year=2019&volume=42&issue=,/scimag/?journal=13467&year=2020&volume=47&issue=,
Journal of Financial Stability,13473,Elsevier Science,/scimag/journals/13473,/scimag/?journal=13473&page=1,34,/scimag/?journal=13473&year=2017&volume=28&issue=,/scimag/?journal=13473&year=2018&volume=34&issue=,/scimag/?journal=13473&year=2019&volume=40&issue=,/scimag/?journal=13473&year=2020&volume=46&issue=,/scimag/?journal=13473&year=2021&volume=53&issue=
Journal of Fluency Disorders,13489,Elsevier Science,/scimag/journals/13489,/scimag/?journal=13489&page=1,90,/scimag/?journal=13489&year=2017&volume=51&issue=,/scimag/?journal=13489&year=2018&volume=55&issue=,/scimag/?journal=13489&year=2019&volume=59&issue=,/scimag/?journal=13489&year=2020&volume=63&issue=,/scimag/?journal=13489&year=2021&volume=67&issue=
Journal of Fluids and Structures,13494,Elsevier Science,/scimag/journals/13494,/scimag/?journal=13494&page=1,136,/scimag/?journal=13494&year=2017&volume=68&issue=,/scimag/?journal=13494&year=2018&volume=76&issue=,/scimag/?journal=13494&year=2019&volume=84&issue=,/scimag/?journal=13494&year=2020&volume=92&issue=,/scimag/?journal=13494&year=2021&volume=100&issue=
Journal of Fluorine Chemistry,13497,Elsevier Science,/scimag/journals/13497,/scimag/?journal=13497&page=1,438,/scimag/?journal=13497&year=2017&volume=193&issue=,/scimag/?journal=13497&year=2018&volume=205&issue=,/scimag/?journal=13497&year=2019&volume=217&issue=,/scimag/?journal=13497&year=2020&volume=229&issue=,/scimag/?journal=13497&year=2021&volume=241&issue=
Journal of Food Composition and Analysis,13501,Elsevier Science,/scimag/journals/13501,/scimag/?journal=13501&page=1,148,/scimag/?journal=13501&year=2017&volume=55&issue=,/scimag/?journal=13501&year=2018&volume=65&issue=,/scimag/?journal=13501&year=2019&volume=75&issue=,/scimag/?journal=13501&year=2020&volume=85&issue=,/scimag/?journal=13501&year=2021&volume=95&issue=
Journal of Food Engineering,13502,Elsevier Science,/scimag/journals/13502,/scimag/?journal=13502&page=1,387,/scimag/?journal=13502&year=2017&volume=192&issue=,/scimag/?journal=13502&year=2018&volume=216&issue=,/scimag/?journal=13502&year=2019&volume=240&issue=,/scimag/?journal=13502&year=2020&volume=264&issue=,/scimag/?journal=13502&year=2021&volume=288&issue=
Journal of Forest Economics,13538,Elsevier Science,/scimag/journals/13538,/scimag/?journal=13538&page=1,20,/scimag/?journal=13538&year=2017&volume=26&issue=,/scimag/?journal=13538&year=2018&volume=30&issue=,/scimag/?journal=13538&year=2019&volume=34&issue=1-2,,
Journal of Free Radicals in Biology & Medicine,13544,Elsevier Science,/scimag/journals/13544,/scimag/?journal=13544&page=1,6,,,,,
Journal of Functional Analysis,13552,Elsevier Science,/scimag/journals/13552,/scimag/?journal=13552&page=1,356,/scimag/?journal=13552&year=2017&volume=272&issue=1,/scimag/?journal=13552&year=2018&volume=274&issue=1,/scimag/?journal=13552&year=2019&volume=276&issue=1,/scimag/?journal=13552&year=2020&volume=278&issue=1,/scimag/?journal=13552&year=2021&volume=280&issue=1
Journal of Geochemical Exploration,13592,Elsevier Science,/scimag/journals/13592,/scimag/?journal=13592&page=1,196,/scimag/?journal=13592&year=2017&volume=172&issue=,/scimag/?journal=13592&year=2018&volume=184&issue=,/scimag/?journal=13592&year=2019&volume=196&issue=,/scimag/?journal=13592&year=2020&volume=208&issue=,/scimag/?journal=13592&year=2021&volume=220&issue=
Journal of Geodynamics,13595,Elsevier Science,/scimag/journals/13595,/scimag/?journal=13595&page=1,93,/scimag/?journal=13595&year=2017&volume=103&issue=,/scimag/?journal=13595&year=2018&volume=113&issue=,/scimag/?journal=13595&year=2019&volume=123&issue=,/scimag/?journal=13595&year=2020&volume=133&issue=,/scimag/?journal=13595&year=2021&volume=143&issue=
Journal of Geometry and Physics,13609,Elsevier Science,/scimag/journals/13609,/scimag/?journal=13609&page=1,169,/scimag/?journal=13609&year=2017&volume=111&issue=,/scimag/?journal=13609&year=2018&volume=123&issue=,/scimag/?journal=13609&year=2019&volume=135&issue=,/scimag/?journal=13609&year=2020&volume=147&issue=,/scimag/?journal=13609&year=2021&volume=159&issue=
Journal of Government Information,13641,Elsevier Science,/scimag/journals/13641,/scimag/?journal=13641&page=1,43,,,,,
Journal of Hand Therapy,13662,Elsevier Science,/scimag/journals/13662,/scimag/?journal=13662&page=1,118,/scimag/?journal=13662&year=2017&volume=30&issue=1,/scimag/?journal=13662&year=2018&volume=31&issue=1,/scimag/?journal=13662&year=2019&volume=32&issue=1,/scimag/?journal=13662&year=2020&volume=33&issue=1,
Journal of Hazardous Materials,13665,Elsevier Science,/scimag/journals/13665,/scimag/?journal=13665&page=1,964,/scimag/?journal=13665&year=2017&volume=321&issue=,/scimag/?journal=13665&year=2018&volume=341&issue=,/scimag/?journal=13665&year=2019&volume=361&issue=,/scimag/?journal=13665&year=2020&volume=381&issue=,/scimag/?journal=13665&year=2021&volume=401&issue=
Journal of Health Economics,13675,Elsevier Science,/scimag/journals/13675,/scimag/?journal=13675&page=1,100,/scimag/?journal=13675&year=2017&volume=51&issue=,/scimag/?journal=13675&year=2018&volume=57&issue=,/scimag/?journal=13675&year=2019&volume=63&issue=,/scimag/?journal=13675&year=2020&volume=69&issue=,/scimag/?journal=13675&year=2021&volume=75&issue=
Journal of Heat Recovery Systems,13686,Elsevier Science,/scimag/journals/13686,/scimag/?journal=13686&page=1,35,,,,,
Journal of Hepatology,13699,Elsevier Science,/scimag/journals/13699,/scimag/?journal=13699&page=1,1737,/scimag/?journal=13699&year=2017&volume=66&issue=1,/scimag/?journal=13699&year=2018&volume=68&issue=,/scimag/?journal=13699&year=2019&volume=70&issue=1,/scimag/?journal=13699&year=2020&volume=72&issue=1,/scimag/?journal=13699&year=2021&volume=74&issue=1
Journal of Herbal Medicine,13700,Elsevier Science,/scimag/journals/13700,/scimag/?journal=13700&page=1,18,/scimag/?journal=13700&year=2017&volume=7&issue=,/scimag/?journal=13700&year=2018&volume=11&issue=,/scimag/?journal=13700&year=2019&volume=15&issue=,/scimag/?journal=13700&year=2020&volume=22&issue=,/scimag/?journal=13700&year=2021&volume=25&issue=
Journal of Historical Geography,13716,Elsevier Science,/scimag/journals/13716,/scimag/?journal=13716&page=1,207,/scimag/?journal=13716&year=2017&volume=55&issue=,/scimag/?journal=13716&year=2018&volume=59&issue=,/scimag/?journal=13716&year=2019&volume=63&issue=,/scimag/?journal=13716&year=2020&volume=67&issue=,/scimag/?journal=13716&year=2021&volume=71&issue=
Journal of Hospital Infection,13736,Elsevier Science,/scimag/journals/13736,/scimag/?journal=13736&page=1,386,/scimag/?journal=13736&year=2017&volume=95&issue=1,/scimag/?journal=13736&year=2018&volume=98&issue=1,/scimag/?journal=13736&year=2019&volume=101&issue=1,/scimag/?journal=13736&year=2020&volume=104&issue=1,/scimag/?journal=13736&year=2021&volume=107&issue=
Journal of Housing Economics,13748,Elsevier Science,/scimag/journals/13748,/scimag/?journal=13748&page=1,33,/scimag/?journal=13748&year=2017&volume=35&issue=,/scimag/?journal=13748&year=2018&volume=39&issue=,/scimag/?journal=13748&year=2019&volume=43&issue=,/scimag/?journal=13748&year=2020&volume=47&issue=,/scimag/?journal=13748&year=2021&volume=51&issue=
Journal of Human Evolution,13756,Elsevier Science,/scimag/journals/13756,/scimag/?journal=13756&page=1,210,/scimag/?journal=13756&year=2017&volume=102&issue=,/scimag/?journal=13756&year=2018&volume=114&issue=,/scimag/?journal=13756&year=2019&volume=126&issue=,/scimag/?journal=13756&year=2020&volume=138&issue=,/scimag/?journal=13756&year=2021&volume=150&issue=
Journal of Hydrology,13784,Elsevier Science,/scimag/journals/13784,/scimag/?journal=13784&page=1,777,/scimag/?journal=13784&year=2017&volume=544&issue=,/scimag/?journal=13784&year=2018&volume=556&issue=,/scimag/?journal=13784&year=2019&volume=568&issue=,/scimag/?journal=13784&year=2020&volume=580&issue=,/scimag/?journal=13784&year=2021&volume=592&issue=
Journal of Immunological Methods,13808,Elsevier Science,/scimag/journals/13808,/scimag/?journal=13808&page=1,541,/scimag/?journal=13808&year=2017&volume=440&issue=,/scimag/?journal=13808&year=2018&volume=452&issue=,/scimag/?journal=13808&year=2019&volume=464&issue=,/scimag/?journal=13808&year=2020&volume=476&issue=,/scimag/?journal=13808&year=2021&volume=488&issue=
Journal of Infection,13841,Elsevier Science,/scimag/journals/13841,/scimag/?journal=13841&page=1,354,/scimag/?journal=13841&year=2017&volume=74&issue=,/scimag/?journal=13841&year=2018&volume=76&issue=1,/scimag/?journal=13841&year=2019&volume=78&issue=1,/scimag/?journal=13841&year=2020&volume=80&issue=1,
Journal of Inorganic and Nuclear Chemistry,13884,Elsevier Science,/scimag/journals/13884,/scimag/?journal=13884&page=1,459,,,,,
Journal of Inorganic Biochemistry,13887,Elsevier Science,/scimag/journals/13887,/scimag/?journal=13887&page=1,438,/scimag/?journal=13887&year=2017&volume=166&issue=,/scimag/?journal=13887&year=2018&volume=178&issue=,/scimag/?journal=13887&year=2019&volume=190&issue=,/scimag/?journal=13887&year=2020&volume=202&issue=,/scimag/?journal=13887&year=2021&volume=214&issue=
Journal of Insect Physiology,13891,Elsevier Science,/scimag/journals/13891,/scimag/?journal=13891&page=1,384,/scimag/?journal=13891&year=2017&volume=96&issue=,/scimag/?journal=13891&year=2018&volume=104&issue=,/scimag/?journal=13891&year=2019&volume=112&issue=,/scimag/?journal=13891&year=2020&volume=120&issue=,/scimag/?journal=13891&year=2021&volume=128&issue=
"Journal of International Accounting, Auditing and Taxation",13944,Elsevier Science,/scimag/journals/13944,/scimag/?journal=13944&page=1,19,/scimag/?journal=13944&year=2017&volume=28&issue=,/scimag/?journal=13944&year=2018&volume=30&issue=,/scimag/?journal=13944&year=2019&volume=34&issue=,/scimag/?journal=13944&year=2020&volume=38&issue=,/scimag/?journal=13944&year=2021&volume=42&issue=
Journal of International Economics,13958,Elsevier Science,/scimag/journals/13958,/scimag/?journal=13958&page=1,142,/scimag/?journal=13958&year=2017&volume=104&issue=,/scimag/?journal=13958&year=2018&volume=110&issue=,/scimag/?journal=13958&year=2019&volume=116&issue=,/scimag/?journal=13958&year=2020&volume=122&issue=,/scimag/?journal=13958&year=2021&volume=128&issue=
"Journal of International Financial Markets, Institutions and Money",13962,Elsevier Science,/scimag/journals/13962,/scimag/?journal=13962&page=1,53,/scimag/?journal=13962&year=2017&volume=46&issue=,/scimag/?journal=13962&year=2018&volume=52&issue=,/scimag/?journal=13962&year=2019&volume=58&issue=,/scimag/?journal=13962&year=2020&volume=64&issue=,
Journal of International Management,13967,Elsevier Science,/scimag/journals/13967,/scimag/?journal=13967&page=1,34,/scimag/?journal=13967&year=2017&volume=23&issue=1,/scimag/?journal=13967&year=2018&volume=24&issue=1,/scimag/?journal=13967&year=2019&volume=25&issue=1,/scimag/?journal=13967&year=2020&volume=26&issue=1,/scimag/?journal=13967&year=2021&volume=27&issue=1
Journal of International Money and Finance,13970,Elsevier Science,/scimag/journals/13970,/scimag/?journal=13970&page=1,114,/scimag/?journal=13970&year=2017&volume=70&issue=,/scimag/?journal=13970&year=2018&volume=80&issue=,/scimag/?journal=13970&year=2019&volume=90&issue=,/scimag/?journal=13970&year=2020&volume=100&issue=,/scimag/?journal=13970&year=2021&volume=110&issue=
Journal of Invertebrate Pathology,13991,Elsevier Science,/scimag/journals/13991,/scimag/?journal=13991&page=1,296,/scimag/?journal=13991&year=2017&volume=142&issue=,/scimag/?journal=13991&year=2018&volume=151&issue=,/scimag/?journal=13991&year=2019&volume=160&issue=,/scimag/?journal=13991&year=2020&volume=169&issue=,/scimag/?journal=13991&year=2021&volume=178&issue=
Journal of Laboratory and Clinical Medicine,14097,Elsevier Science,/scimag/journals/14097,/scimag/?journal=14097&page=1,78,,,,,
Journal of Light Metals,14148,Elsevier Science,/scimag/journals/14148,/scimag/?journal=14148&page=1,3,,,,,
Journal of Lipid Mediators and Cell Signalling,14154,Elsevier Science,/scimag/journals/14154,/scimag/?journal=14154&page=1,9,,,,,
Journal of Loss Prevention in the Process Industries,14171,Elsevier Science,/scimag/journals/14171,/scimag/?journal=14171&page=1,152,/scimag/?journal=14171&year=2017&volume=45&issue=,/scimag/?journal=14171&year=2018&volume=51&issue=,/scimag/?journal=14171&year=2019&volume=57&issue=,/scimag/?journal=14171&year=2020&volume=63&issue=,/scimag/?journal=14171&year=2021&volume=69&issue=
Journal of Luminescence,14179,Elsevier Science,/scimag/journals/14179,/scimag/?journal=14179&page=1,692,/scimag/?journal=14179&year=2017&volume=181&issue=,/scimag/?journal=14179&year=2018&volume=193&issue=,/scimag/?journal=14179&year=2019&volume=205&issue=,/scimag/?journal=14179&year=2020&volume=217&issue=,/scimag/?journal=14179&year=2021&volume=229&issue=
Journal of Macroeconomics,14183,Elsevier Science,/scimag/journals/14183,/scimag/?journal=14183&page=1,133,/scimag/?journal=14183&year=2017&volume=51&issue=,/scimag/?journal=14183&year=2018&volume=55&issue=,/scimag/?journal=14183&year=2019&volume=59&issue=,/scimag/?journal=14183&year=2020&volume=63&issue=,/scimag/?journal=14183&year=2021&volume=67&issue=
Journal of Magnetic Resonance,14190,Elsevier Science,/scimag/journals/14190,/scimag/?journal=14190&page=1,246,/scimag/?journal=14190&year=2017&volume=274&issue=,/scimag/?journal=14190&year=2018&volume=286&issue=,/scimag/?journal=14190&year=2019&volume=298&issue=,/scimag/?journal=14190&year=2020&volume=310&issue=,/scimag/?journal=14190&year=2021&volume=322&issue=
Journal of Magnetic Resonance (1969),14191,Elsevier Science,/scimag/journals/14191,/scimag/?journal=14191&page=1,282,,,,,
"Journal of Magnetic Resonance, Series A",14193,Elsevier Science,/scimag/journals/14193,/scimag/?journal=14193&page=1,44,,,,,
"Journal of Magnetic Resonance, Series B",14194,Elsevier Science,/scimag/journals/14194,/scimag/?journal=14194&page=1,26,,,,,
Journal of Magnetism and Magnetic Materials,14196,Elsevier Science,/scimag/journals/14196,/scimag/?journal=14196&page=1,1737,/scimag/?journal=14196&year=2017&volume=421&issue=,/scimag/?journal=14196&year=2018&volume=445&issue=,/scimag/?journal=14196&year=2019&volume=469&issue=,/scimag/?journal=14196&year=2020&volume=493&issue=,/scimag/?journal=14196&year=2021&volume=517&issue=
Journal of Manipulative and Physiological Therapeutics,14222,Elsevier Science,/scimag/journals/14222,/scimag/?journal=14222&page=1,119,/scimag/?journal=14222&year=2017&volume=40&issue=1,/scimag/?journal=14222&year=2018&volume=41&issue=1,/scimag/?journal=14222&year=2019&volume=42&issue=1,/scimag/?journal=14222&year=2020&volume=43&issue=1,
Journal of Marine Systems,14237,Elsevier Science,/scimag/journals/14237,/scimag/?journal=14237&page=1,149,/scimag/?journal=14237&year=2017&volume=165&issue=,/scimag/?journal=14237&year=2018&volume=177&issue=,/scimag/?journal=14237&year=2019&volume=189&issue=,/scimag/?journal=14237&year=2020&volume=201&issue=,/scimag/?journal=14237&year=2021&volume=213&issue=
Journal of Materials Processing Technology,14263,Elsevier Science,/scimag/journals/14263,/scimag/?journal=14263&page=1,655,/scimag/?journal=14263&year=2017&volume=239&issue=,/scimag/?journal=14263&year=2018&volume=251&issue=,/scimag/?journal=14263&year=2019&volume=263&issue=,/scimag/?journal=14263&year=2020&volume=275&issue=,/scimag/?journal=14263&year=2021&volume=287&issue=
Journal of Mathematical Analysis and Applications,14275,Elsevier Science,/scimag/journals/14275,/scimag/?journal=14275&page=1,1212,/scimag/?journal=14275&year=2017&volume=445&issue=1,/scimag/?journal=14275&year=2018&volume=457&issue=1,/scimag/?journal=14275&year=2019&volume=469&issue=1,/scimag/?journal=14275&year=2020&volume=481&issue=1,/scimag/?journal=14275&year=2021&volume=493&issue=1
Journal of Mathematical Economics,14279,Elsevier Science,/scimag/journals/14279,/scimag/?journal=14279&page=1,102,/scimag/?journal=14279&year=2017&volume=68&issue=,/scimag/?journal=14279&year=2018&volume=74&issue=,/scimag/?journal=14279&year=2019&volume=80&issue=,/scimag/?journal=14279&year=2020&volume=86&issue=,/scimag/?journal=14279&year=2021&volume=92&issue=
Journal of Mathematical Psychology,14287,Elsevier Science,/scimag/journals/14287,/scimag/?journal=14287&page=1,101,/scimag/?journal=14287&year=2017&volume=76&issue=,/scimag/?journal=14287&year=2018&volume=82&issue=,/scimag/?journal=14287&year=2019&volume=88&issue=,/scimag/?journal=14287&year=2020&volume=94&issue=,/scimag/?journal=14287&year=2021&volume=100&issue=
Journal of Maxillofacial Surgery,14298,Elsevier Science,/scimag/journals/14298,/scimag/?journal=14298&page=1,34,,,,,
Journal of Mechanical Working Technology,14304,Elsevier Science,/scimag/journals/14304,/scimag/?journal=14304&page=1,44,,,,,
Journal of Mechanisms,14308,Elsevier Science,/scimag/journals/14308,/scimag/?journal=14308&page=1,13,,,,,
Journal of Medical Imaging and Radiation Sciences,14334,Elsevier Science,/scimag/journals/14334,/scimag/?journal=14334&page=1,75,/scimag/?journal=14334&year=2017&volume=48&issue=1,/scimag/?journal=14334&year=2018&volume=49&issue=1,/scimag/?journal=14334&year=2019&volume=50&issue=1,/scimag/?journal=14334&year=2020&volume=51&issue=1,
Journal of Medical Ultrasound,14350,Elsevier Science,/scimag/journals/14350,/scimag/?journal=14350&page=1,25,/scimag/?journal=14350&year=2017&volume=25&issue=1,/scimag/?journal=14350&year=2018&volume=26&issue=1,/scimag/?journal=14350&year=2019&volume=27&issue=1,,
Journal of Medieval History,14362,Elsevier Science,/scimag/journals/14362,/scimag/?journal=14362&page=1,55,/scimag/?journal=14362&year=2017&volume=43&issue=1,/scimag/?journal=14362&year=2018&volume=44&issue=2,/scimag/?journal=14362&year=2019&volume=45&issue=1,/scimag/?journal=14362&year=2020&volume=46&issue=1,
Journal of Membrane Science,14366,Elsevier Science,/scimag/journals/14366,/scimag/?journal=14366&page=1,810,/scimag/?journal=14366&year=2017&volume=521&issue=,/scimag/?journal=14366&year=2018&volume=545&issue=,/scimag/?journal=14366&year=2019&volume=569&issue=,/scimag/?journal=14366&year=2020&volume=593&issue=,/scimag/?journal=14366&year=2021&volume=617&issue=
Journal of Memory and Language,14368,Elsevier Science,/scimag/journals/14368,/scimag/?journal=14368&page=1,94,/scimag/?journal=14368&year=2017&volume=92&issue=,/scimag/?journal=14368&year=2018&volume=98&issue=,/scimag/?journal=14368&year=2019&volume=104&issue=,/scimag/?journal=14368&year=2020&volume=110&issue=,/scimag/?journal=14368&year=2021&volume=116&issue=
Journal of Microbiological Methods,14379,Elsevier Science,/scimag/journals/14379,/scimag/?journal=14379&page=1,254,/scimag/?journal=14379&year=2017&volume=132&issue=,/scimag/?journal=14379&year=2018&volume=144&issue=,/scimag/?journal=14379&year=2019&volume=156&issue=,/scimag/?journal=14379&year=2020&volume=168&issue=,/scimag/?journal=14379&year=2021&volume=180&issue=
Journal of Microcomputer Applications,14386,Elsevier Science,/scimag/journals/14386,/scimag/?journal=14386&page=1,21,,,,,
Journal of Minimally Invasive Gynecology,14403,Elsevier Science,/scimag/journals/14403,/scimag/?journal=14403&page=1,569,/scimag/?journal=14403&year=2017&volume=24&issue=1,/scimag/?journal=14403&year=2018&volume=25&issue=1,/scimag/?journal=14403&year=2019&volume=26&issue=1,/scimag/?journal=14403&year=2020&volume=27&issue=2,
Journal of Molecular and Cellular Cardiology,14427,Elsevier Science,/scimag/journals/14427,/scimag/?journal=14427&page=1,911,/scimag/?journal=14427&year=2017&volume=102&issue=,/scimag/?journal=14427&year=2018&volume=114&issue=,/scimag/?journal=14427&year=2019&volume=126&issue=,/scimag/?journal=14427&year=2020&volume=138&issue=,/scimag/?journal=14427&year=2021&volume=150&issue=
Journal of Molecular Biology,14429,Elsevier Science,/scimag/journals/14429,/scimag/?journal=14429&page=1,1401,/scimag/?journal=14429&year=2017&volume=429&issue=1,/scimag/?journal=14429&year=2018&volume=430&issue=1,/scimag/?journal=14429&year=2019&volume=431&issue=1,/scimag/?journal=14429&year=2020&volume=432&issue=1,/scimag/?journal=14429&year=2021&volume=433&issue=2
Journal of Molecular Catalysis,14432,Elsevier Science,/scimag/journals/14432,/scimag/?journal=14432&page=1,159,,,,,
Journal of Molecular Catalysis A: Chemical,14433,Elsevier Science,/scimag/journals/14433,/scimag/?journal=14433&page=1,430,/scimag/?journal=14433&year=2017&volume=426&issue=,,,,
Journal of Molecular Catalysis B: Enzymatic,14434,Elsevier Science,/scimag/journals/14434,/scimag/?journal=14434&page=1,155,/scimag/?journal=14434&year=2017&volume=&issue=,,,,
Journal of Molecular Graphics,14440,Elsevier Science,/scimag/journals/14440,/scimag/?journal=14440&page=1,47,,,,,
Journal of Molecular Graphics and Modelling,14441,Elsevier Science,/scimag/journals/14441,/scimag/?journal=14441&page=1,115,/scimag/?journal=14441&year=2017&volume=71&issue=,/scimag/?journal=14441&year=2018&volume=79&issue=,/scimag/?journal=14441&year=2019&volume=86&issue=,/scimag/?journal=14441&year=2020&volume=94&issue=,/scimag/?journal=14441&year=2021&volume=102&issue=
Journal of Molecular Liquids,14444,Elsevier Science,/scimag/journals/14444,/scimag/?journal=14444&page=1,583,/scimag/?journal=14444&year=2017&volume=225&issue=,/scimag/?journal=14444&year=2018&volume=249&issue=,/scimag/?journal=14444&year=2019&volume=273&issue=,/scimag/?journal=14444&year=2020&volume=297&issue=,/scimag/?journal=14444&year=2021&volume=321&issue=
Journal of Molecular Spectroscopy,14452,Elsevier Science,/scimag/journals/14452,/scimag/?journal=14452&page=1,534,/scimag/?journal=14452&year=2017&volume=331&issue=,/scimag/?journal=14452&year=2018&volume=343&issue=,/scimag/?journal=14452&year=2019&volume=355&issue=,/scimag/?journal=14452&year=2020&volume=367&issue=,/scimag/?journal=14452&year=2021&volume=375&issue=
Journal of Molecular Structure,14453,Elsevier Science,/scimag/journals/14453,/scimag/?journal=14453&page=1,1293,/scimag/?journal=14453&year=2017&volume=1127&issue=,/scimag/?journal=14453&year=2018&volume=1151&issue=,/scimag/?journal=14453&year=2019&volume=1175&issue=,/scimag/?journal=14453&year=2020&volume=1199&issue=,/scimag/?journal=14453&year=2021&volume=1223&issue=
Journal of Molecular Structure: THEOCHEM,14454,Elsevier Science,/scimag/journals/14454,/scimag/?journal=14454&page=1,557,,,,,
Journal of Monetary Economics,14456,Elsevier Science,/scimag/journals/14456,/scimag/?journal=14456&page=1,137,/scimag/?journal=14456&year=2017&volume=85&issue=,/scimag/?journal=14456&year=2018&volume=93&issue=,/scimag/?journal=14456&year=2019&volume=101&issue=,/scimag/?journal=14456&year=2020&volume=109&issue=,
Journal of Multinational Financial Management,14474,Elsevier Science,/scimag/journals/14474,/scimag/?journal=14474&page=1,29,/scimag/?journal=14474&year=2017&volume=39&issue=,/scimag/?journal=14474&year=2018&volume=44&issue=,/scimag/?journal=14474&year=2019&volume=49&issue=,/scimag/?journal=14474&year=2020&volume=54&issue=,
Journal of Multivariate Analysis,14476,Elsevier Science,/scimag/journals/14476,/scimag/?journal=14476&page=1,193,/scimag/?journal=14476&year=2017&volume=153&issue=,/scimag/?journal=14476&year=2018&volume=163&issue=,/scimag/?journal=14476&year=2019&volume=169&issue=,/scimag/?journal=14476&year=2020&volume=175&issue=,/scimag/?journal=14476&year=2021&volume=181&issue=
Journal of Natural Gas Chemistry,14508,Elsevier Science,/scimag/journals/14508,/scimag/?journal=14508&page=1,24,,,,,
Journal of Neonatal Nursing,14526,Elsevier Science,/scimag/journals/14526,/scimag/?journal=14526&page=1,47,/scimag/?journal=14526&year=2017&volume=23&issue=1,/scimag/?journal=14526&year=2018&volume=24&issue=1,/scimag/?journal=14526&year=2019&volume=25&issue=1,/scimag/?journal=14526&year=2020&volume=26&issue=1,/scimag/?journal=14526&year=2021&volume=27&issue=1
Journal of Network and Computer Applications,14535,Elsevier Science,/scimag/journals/14535,/scimag/?journal=14535&page=1,114,/scimag/?journal=14535&year=2017&volume=77&issue=,/scimag/?journal=14535&year=2018&volume=101&issue=,/scimag/?journal=14535&year=2019&volume=125&issue=,/scimag/?journal=14535&year=2020&volume=149&issue=,/scimag/?journal=14535&year=2021&volume=173&issue=
